productName,price
Apple iPhone 13 (128GB) - Starlight,"42,999"
Apple iPhone 13 (128GB) - Pink,"43,999"
Apple iPhone 13 (128GB) - Blue,"43,999"
Apple iPhone 13 (128GB) - Midnight,"43,999"
Apple iPhone 13 (128GB) - Green,"43,999"
Apple iPhone 13 (128GB) - (Product) RED,"43,999"
Apple iPhone 15 (128 GB) - Blue,"43,999"
Apple iPhone 15 (128 GB) - Black,"43,999"
Apple iPhone 14 (128 GB) - Blue,"42,999"
Apple iPhone 13 (256GB) - Starlight,"69,900"
Apple iPhone 15 Pro Max (256 GB) - Black Titanium,"69,900"
Apple iPhone 16 (128 GB) - Ultramarine,"59,900"
Apple iPhone 15 (256 GB) - Black,"54,999"
Apple iPhone 16 (128 GB) - Black,"1,31,900"
Apple iPhone 16 (128 GB) - Pink,"79,900"
Apple iPhone 13 (256GB) - Pink,"77,900"
